السنة,الربع,المنطقة,النشاط الاقتصادي - المستوى الثاني,حجم المنشأة,عدد المنشآت المملوكة للمرأة,,,,,,,,,,
2025,1,المنطقة الشرقية,غير معرف,صغيرة,18,,,,,,,,,,
2025,1,منطقة الجوف,غير معرف,صغيرة,2,,"اخلاء مسؤولية:
 - تمت معالجة البيانات بأقصى قدر من الجهد والحرص لضمان جودتها. ومع ذلك، تحتفظ منشآت بالحق في إجراء اي تغييرات على البيانات دون إشعار مسبق حيث أنها تخضع للتغييرات التي تحدث على مصدر البيانات الرئيسي ""المؤسسة العامة للتأمينات الاجتماعية"".
- ""منشآت"" غير مسؤولة عن أي ضرر أو سوء استخدام تتعرض له الجهات نتيجة استخدام هذه البيانات المنشورة بالبوابة الإلكترونية لـ""منشآت""، كما أن ""منشآت"" لا تضمن استمرارية توافر هذه البيانات أو جزء منها، كما لا تتحمل ""منشآت"" أي مسؤولية تجاه مستخدمي هذه البيانات، وما قد يقع عليهم من ضرر أو خسارة بسبب إعادة استخدامها.",,,,,,,,
2025,1,منطقة الرياض,غير معرف,صغيرة,418,,,,,,,,,,
2025,1,منطقة القصيم,غير معرف,صغيرة,14,,,,,,,,,,
2025,1,منطقة المدينة المنورة,غير معرف,صغيرة,9,,,,,,,,,,
2025,1,منطقة تبوك,غير معرف,صغيرة,4,,,,,,,,,,
2025,1,منطقة جازان,غير معرف,صغيرة,3,,,,,,,,,,
2025,1,منطقة حائل,غير معرف,صغيرة,13,,,,,,,,,,
2025,1,منطقة عسير,غير معرف,صغيرة,5,,,,,,,,,,
2025,1,منطقة مكة المكرمة,غير معرف,صغيرة,31,,,,,,,,,,
2025,1,منطقة نجران,غير معرف,صغيرة,10,,,,,,,,,,
2025,1,المنطقة الشرقية,غير معرف,صغيرة,2,,,,,,,,,,
2025,1,منطقة الرياض,غير معرف,صغيرة,9,,*تشمل المنشآت المملوكة للمرآة المنشآت التي يكون مالكيها رجل وامرأة معاً او امرأة فقط حسب المسجل في ملف المنشأة لدى المؤسسة العامة للتأمينات الاجتماعية.,,,,,,,,
2025,1,منطقة مكة المكرمة,غير معرف,صغيرة,3,,,,,,,,,,
2025,1,المنطقة الشرقية,غير معرف,متناهية الصغر,1235,,,,,,,,,,
2025,1,منطقة الباحة,غير معرف,متناهية الصغر,82,,,,,,,,,,
2025,1,منطقة الجوف,غير معرف,متناهية الصغر,513,,,,,,,,,,
2025,1,منطقة الحدود الشمالية,غير معرف,متناهية الصغر,144,,,,,,,,,,
2025,1,منطقة الرياض,غير معرف,متناهية الصغر,58958,,,,,,,,,,
2025,1,منطقة القصيم,غير معرف,متناهية الصغر,1392,,,,,,,,,,
