السنة,الربع,المنطقة ,النشاط الاقتصادي - المستوى الثاني,حجم المنشأة,عدد المنشآت المملوكة للمرأة,,,,,,,,,,
2025,4,المنطقة الشرقية,غير معرف,صغيرة,15,,,,,,,,,,
2025,4,منطقة الباحة,غير معرف,صغيرة,1,,"اخلاء مسؤولية:
 - تمت معالجة البيانات بأقصى قدر من الجهد والحرص لضمان جودتها. ومع ذلك، تحتفظ منشآت بالحق في إجراء اي تغييرات على البيانات دون إشعار مسبق حيث أنها تخضع للتغييرات التي تحدث على مصدر البيانات الرئيسي ""المؤسسة العامة للتأمينات الاجتماعية"".
- ""منشآت"" غير مسؤولة عن أي ضرر أو سوء استخدام تتعرض له الجهات نتيجة استخدام هذه البيانات المنشورة بالبوابة الإلكترونية لـ""منشآت""، كما أن ""منشآت"" لا تضمن استمرارية توافر هذه البيانات أو جزء منها، كما لا تتحمل ""منشآت"" أي مسؤولية تجاه مستخدمي هذه البيانات، وما قد يقع عليهم من ضرر أو خسارة بسبب إعادة استخدامها.",,,,,,,,
2025,4,منطقة الجوف,غير معرف,صغيرة,5,,,,,,,,,,
2025,4,منطقة الحدود الشمالية,غير معرف,صغيرة,1,,,,,,,,,,
2025,4,منطقة الرياض,غير معرف,صغيرة,3213,,,,,,,,,,
2025,4,منطقة القصيم,غير معرف,صغيرة,8,,,,,,,,,,
2025,4,منطقة المدينة المنورة,غير معرف,صغيرة,6,,,,,,,,,,
2025,4,منطقة تبوك,غير معرف,صغيرة,7,,,,,,,,,,
2025,4,منطقة جازان,غير معرف,صغيرة,4,,,,,,,,,,
2025,4,منطقة حائل,غير معرف,صغيرة,15,,,,,,,,,,
2025,4,منطقة عسير,غير معرف,صغيرة,4,,,,,,,,,,
2025,4,منطقة مكة المكرمة,غير معرف,صغيرة,35,,,,,,,,,,
2025,4,منطقة نجران,غير معرف,صغيرة,12,,*تشمل المنشآت المملوكة للمرآة المنشآت التي يكون مالكيها رجل وامرأة معاً او امرأة فقط حسب المسجل في ملف المنشأة لدى المؤسسة العامة للتأمينات الاجتماعية.,,,,,,,,
2025,4,منطقة الرياض,غير معرف,صغيرة,956,,,,,,,,,,
2025,4,منطقة القصيم,غير معرف,صغيرة,1,,,,,,,,,,
2025,4,منطقة جازان,غير معرف,صغيرة,1,,,,,,,,,,
2025,4,منطقة مكة المكرمة,غير معرف,صغيرة,1,,,,,,,,,,
2025,4,منطقة الرياض,غير معرف,كبيرة,8,,,,,,,,,,
2025,4,منطقة الرياض,غير معرف,كبيرة,16,,,,,,,,,,
2025,4,المنطقة الشرقية,غير معرف,متناهية الصغر,1074,,,,,,,,,,
2025,4,منطقة الباحة,غير معرف,متناهية الصغر,72,,,,,,,,,,
2025,4,منطقة الجوف,غير معرف,متناهية الصغر,443,,,,,,,,,,
2025,4,منطقة الحدود الشمالية,غير معرف,متناهية الصغر,128,,,,,,,,,,
2025,4,منطقة الرياض,غير معرف,متناهية الصغر,124657,,,,,,,,,,
2025,4,منطقة القصيم,غير معرف,متناهية الصغر,1292,,,,,,,,,,
2025,4,منطقة المدينة المنورة,غير معرف,متناهية الصغر,788,,,,,,,,,,
2025,4,منطقة تبوك,غير معرف,متناهية الصغر,222,,,,,,,,,,
2025,4,منطقة جازان,غير معرف,متناهية الصغر,557,,,,,,,,,,
2025,4,منطقة حائل,غير معرف,متناهية الصغر,2065,,,,,,,,,,
2025,4,منطقة عسير,غير معرف,متناهية الصغر,562,,,,,,,,,,
2025,4,منطقة مكة المكرمة,غير معرف,متناهية الصغر,3208,,,,,,,,,,
2025,4,منطقة نجران,غير معرف,متناهية الصغر,1476,,,,,,,,,,
2025,4,المنطقة الشرقية,غير معرف,متناهية الصغر,7,,,,,,,,,,
2025,4,منطقة الجوف,غير معرف,متناهية الصغر,1,,,,,,,,,,
2025,4,منطقة الرياض,غير معرف,متناهية الصغر,14502,,,,,,,,,,
2025,4,منطقة القصيم,غير معرف,متناهية الصغر,2,,,,,,,,,,
2025,4,منطقة المدينة المنورة,غير معرف,متناهية الصغر,1,,,,,,,,,,
2025,4,منطقة تبوك,غير معرف,متناهية الصغر,2,,,,,,,,,,
2025,4,منطقة جازان,غير معرف,متناهية الصغر,1,,,,,,,,,,
2025,4,منطقة حائل,غير معرف,متناهية الصغر,5,,,,,,,,,,
2025,4,منطقة عسير,غير معرف,متناهية الصغر,5,,,,,,,,,,
2025,4,منطقة مكة المكرمة,غير معرف,متناهية الصغر,13,,,,,,,,,,
2025,4,منطقة نجران,غير معرف,متناهية الصغر,3,,,,,,,,,,
2025,4,منطقة الرياض,غير معرف,متوسطة,242,,,,,,,,,,
2025,4,منطقة مكة المكرمة,غير معرف,متوسطة,1,,,,,,,,,,
2025,4,منطقة الرياض,غير معرف,متوسطة,79,,,,,,,,,,
2025,4,منطقة جازان,غير معرف,متوسطة,1,,,,,,,,,,
2025,4,المنطقة الشرقية,أبحاث الإعلان والسوق,صغيرة,30,,,,,,,,,,
2025,4,منطقة الجوف,أبحاث الإعلان والسوق,صغيرة,2,,,,,,,,,,
2025,4,منطقة الحدود الشمالية,أبحاث الإعلان والسوق,صغيرة,2,,,,,,,,,,
2025,4,منطقة الرياض,أبحاث الإعلان والسوق,صغيرة,84,,,,,,,,,,
2025,4,منطقة القصيم,أبحاث الإعلان والسوق,صغيرة,6,,,,,,,,,,
2025,4,منطقة المدينة المنورة,أبحاث الإعلان والسوق,صغيرة,5,,,,,,,,,,
2025,4,منطقة تبوك,أبحاث الإعلان والسوق,صغيرة,3,,,,,,,,,,
2025,4,منطقة جازان,أبحاث الإعلان والسوق,صغيرة,2,,,,,,,,,,
