السنة,الربع,المنطقة,النشاط الاقتصادي - المستوى الثاني,حجم المنشأة,عدد المنشآت المملوكة للمرأة,,,,,,,,,,
2025,3,المنطقة الشرقية,غير معرف,صغيرة,11,,,,,,,,,,
2025,3,منطقة الباحة,غير معرف,صغيرة,2,,"اخلاء مسؤولية:
 - تمت معالجة البيانات بأقصى قدر من الجهد والحرص لضمان جودتها. ومع ذلك، تحتفظ منشآت بالحق في إجراء اي تغييرات على البيانات دون إشعار مسبق حيث أنها تخضع للتغييرات التي تحدث على مصدر البيانات الرئيسي ""المؤسسة العامة للتأمينات الاجتماعية"".
- ""منشآت"" غير مسؤولة عن أي ضرر أو سوء استخدام تتعرض له الجهات نتيجة استخدام هذه البيانات المنشورة بالبوابة الإلكترونية لـ""منشآت""، كما أن ""منشآت"" لا تضمن استمرارية توافر هذه البيانات أو جزء منها، كما لا تتحمل ""منشآت"" أي مسؤولية تجاه مستخدمي هذه البيانات، وما قد يقع عليهم من ضرر أو خسارة بسبب إعادة استخدامها.",,,,,,,,
2025,3,منطقة الجوف,غير معرف,صغيرة,2,,,,,,,,,,
2025,3,منطقة الرياض,غير معرف,صغيرة,1442,,,,,,,,,,
2025,3,منطقة القصيم,غير معرف,صغيرة,7,,,,,,,,,,
2025,3,منطقة المدينة المنورة,غير معرف,صغيرة,4,,,,,,,,,,
2025,3,منطقة تبوك,غير معرف,صغيرة,4,,,,,,,,,,
2025,3,منطقة حائل,غير معرف,صغيرة,9,,,,,,,,,,
2025,3,منطقة عسير,غير معرف,صغيرة,3,,,,,,,,,,
2025,3,منطقة مكة المكرمة,غير معرف,صغيرة,23,,,,,,,,,,
2025,3,منطقة نجران,غير معرف,صغيرة,8,,,,,,,,,,
2025,3,المنطقة الشرقية,غير معرف,صغيرة,1,,,,,,,,,,
2025,3,منطقة الرياض,غير معرف,صغيرة,350,,*تشمل المنشآت المملوكة للمرآة المنشآت التي يكون مالكيها رجل وامرأة معاً او امرأة فقط حسب المسجل في ملف المنشأة لدى المؤسسة العامة للتأمينات الاجتماعية.,,,,,,,,
2025,3,منطقة القصيم,غير معرف,صغيرة,1,,,,,,,,,,
2025,3,منطقة جازان,غير معرف,صغيرة,1,,,,,,,,,,
2025,3,منطقة مكة المكرمة,غير معرف,صغيرة,1,,,,,,,,,,
2025,3,منطقة الرياض,غير معرف,كبيرة,3,,,,,,,,,,
2025,3,منطقة الرياض,غير معرف,كبيرة,7,,,,,,,,,,
